                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    139,                0.46071,                0.32522,                0.82429,                0.86588,                0.82089,                0.84447,                0.74666,                0.62342,                0.66116,                0.82943,             0.00045365,             0.00045365,             0.00045365
                    140,                0.45777,                 0.3226,                 0.8248,                0.87297,                0.73623,                 0.8178,                0.73404,                 0.6179,                0.78383,                0.82707,              0.0004509,              0.0004509,              0.0004509
                    141,                 0.4589,                0.31299,                0.82405,                0.89461,                 0.7865,                0.83508,                0.73816,                0.62803,                0.77653,                0.82866,             0.00044815,             0.00044815,             0.00044815
                    142,                0.45759,                0.32485,                0.82296,                 0.8946,                0.81311,                0.83752,                0.74173,                0.61881,                0.74321,                0.82837,             0.00044541,             0.00044541,             0.00044541
                    143,                0.45455,                0.31931,                 0.8244,                0.87222,                0.78799,                0.79919,                0.71484,                0.62586,                0.91221,                0.82962,             0.00044266,             0.00044266,             0.00044266
                    144,                0.45643,                0.31937,                0.81702,                0.85206,                0.80089,                0.81159,                0.71819,                0.63676,                0.84289,                0.82979,             0.00043991,             0.00043991,             0.00043991
                    145,                0.46254,                0.31715,                0.82492,                0.90035,                0.80087,                0.81464,                0.73043,                0.63308,                0.84616,                0.82665,             0.00043716,             0.00043716,             0.00043716
                    146,                0.45774,                0.32032,                0.82261,                0.88005,                0.77219,                0.81156,                0.73165,                0.62204,                 0.8638,                  0.826,             0.00043441,             0.00043441,             0.00043441
                    147,                0.45009,                0.31659,                0.81969,                0.89108,                0.78193,                0.82886,                 0.7386,                0.62189,                0.75596,                0.82761,             0.00043166,             0.00043166,             0.00043166
                    148,                0.45424,                0.32135,                0.82274,                0.89387,                0.78271,                0.82791,                0.74133,                0.62208,                0.74623,                0.82541,             0.00042891,             0.00042891,             0.00042891
                    149,                0.45725,                0.32451,                0.82505,                0.87855,                0.76459,                0.81685,                0.72961,                0.63371,                0.81009,                0.82726,             0.00042616,             0.00042616,             0.00042616
                    150,                0.45309,                0.31907,                0.82048,                0.89912,                0.77658,                0.80459,                0.71647,                0.63509,                0.83681,                0.82922,             0.00042341,             0.00042341,             0.00042341
                    151,                0.45655,                0.31808,                0.82524,                0.89848,                0.78685,                0.82795,                0.74287,                0.63146,                 0.7794,                0.82924,             0.00042066,             0.00042066,             0.00042066
                    152,                0.45242,                0.32276,                0.82368,                0.91878,                 0.7674,                0.81285,                0.73125,                0.61914,                0.84047,                0.82633,             0.00041792,             0.00041792,             0.00041792
